Genome_ID,Genus,GC_content,Genome_size_Mb
GUT_0069,Bacteroides,42.9,1.54
GUT_0070,Bacteroides,44.6,3.78
GUT_0071,Bacteroides,42.5,2.93
GUT_0072,Bacteroides,44.5,2.91
GUT_0073,Bacteroides,42.0,1.56
GUT_0074,Bacteroides,44.0,3.16
GUT_0075,Bacteroides,42.3,3.19
GUT_0076,Bacteroides,43.4,3.28
GUT_0077,Bacteroides,44.3,4.32
GUT_0078,Bacteroides,42.7,4.39
GUT_0079,Bacteroides,44.1,3.0
GUT_0080,Bacteroides,42.6,3.88
GUT_0081,Bacteroides,43.9,4.18
GUT_0082,Bacteroides,44.7,2.03
GUT_0083,Bacteroides,42.7,3.81
GUT_0084,Bacteroides,42.4,2.6
GUT_0085,Bacteroides,42.2,2.18
GUT_0086,Bacteroides,43.0,3.52
GUT_0087,Bacteroides,44.9,2.36
GUT_0088,Bacteroides,44.7,1.6
GUT_0089,Bacteroides,42.2,3.04
GUT_0090,Bacteroides,39.7,1.53
GUT_0091,Bacteroides,43.5,2.23
GUT_0092,Bacteroides,41.6,4.5
GUT_0093,Bacteroides,45.7,2.73
GUT_0094,Bacteroides,41.2,3.81
GUT_0095,Bacteroides,42.3,2.94
GUT_0096,Bacteroides,44.7,3.48
GUT_0097,Bacteroides,44.0,4.17
GUT_0098,Bacteroides,43.6,3.18
GUT_0099,Bacteroides,42.9,4.07
GUT_0100,Bacteroides,43.2,1.65
GUT_0101,Bacteroides,43.1,2.57
GUT_0102,Bacteroides,41.4,3.58
GUT_0103,Bacteroides,41.8,4.4
GUT_0104,Bacteroides,46.3,1.51
GUT_0105,Bacteroides,42.5,1.87
GUT_0106,Bacteroides,41.2,2.83
GUT_0107,Bacteroides,42.3,3.84
GUT_0108,Bacteroides,44.4,3.54
GUT_0109,Bacteroides,43.2,2.55
GUT_0110,Bacteroides,42.6,1.71
GUT_0111,Bacteroides,42.6,4.34
GUT_0112,Bacteroides,46.0,2.8
GUT_0113,Bacteroides,43.6,3.49
GUT_0114,Bacteroides,41.7,2.62
GUT_0115,Bacteroides,40.8,3.71
GUT_0116,Bacteroides,41.1,1.89
GUT_0117,Bacteroides,41.8,4.34
GUT_0118,Bacteroides,43.8,3.3
GUT_0119,Bacteroides,40.9,3.53
GUT_0120,Bacteroides,43.5,4.24
GUT_0121,Bacteroides,45.1,3.47
GUT_0122,Bacteroides,39.6,3.6
GUT_0123,Bacteroides,42.8,2.5
GUT_0124,Bacteroides,41.9,2.56
GUT_0125,Bacteroides,43.0,4.19
GUT_0126,Bacteroides,47.0,3.11
GUT_0127,Bacteroides,44.7,3.46
GUT_0128,Bacteroides,40.8,1.95
GUT_0129,Bacteroides,43.8,3.14
GUT_0130,Bacteroides,43.0,3.01
GUT_0131,Bacteroides,44.2,4.13
GUT_0132,Bacteroides,43.1,4.35
GUT_0133,Bacteroides,42.8,3.06
GUT_0134,Bacteroides,44.9,4.38
GUT_0135,Bacteroides,43.9,3.34
GUT_0136,Bacteroides,43.4,4.35
GUT_0137,Bacteroides,44.5,2.89
GUT_0138,Bacteroides,42.8,3.52
GUT_0139,Bacteroides,44.3,2.71
GUT_0140,Bacteroides,46.0,3.59
GUT_0141,Bacteroides,43.4,2.86
GUT_0142,Bacteroides,41.1,2.52
GUT_0143,Bacteroides,43.5,2.68
GUT_0144,Bacteroides,42.3,3.96
GUT_0145,Bacteroides,41.5,2.03
GUT_0146,Bacteroides,43.6,4.07
GUT_0147,Bacteroides,44.2,3.78
GUT_0148,Bacteroides,40.5,4.02
GUT_0149,Bacteroides,45.0,1.95
GUT_0150,Bacteroides,40.7,2.83
VAG_0001,Bacteroides,43.0,3.97
VAG_0002,Bacteroides,41.4,2.5
VAG_0003,Bacteroides,39.2,1.57
VAG_0004,Bacteroides,45.0,3.45
VAG_0005,Bacteroides,42.8,2.48
GUT_0151,Faecalibacterium,56.1,3.49
GUT_0152,Faecalibacterium,56.3,2.99
GUT_0153,Faecalibacterium,53.8,2.41
GUT_0154,Faecalibacterium,58.4,3.2
GUT_0155,Faecalibacterium,56.3,1.56
GUT_0156,Faecalibacterium,57.7,3.9
GUT_0157,Faecalibacterium,55.5,3.77
GUT_0158,Faecalibacterium,55.6,1.68
GUT_0159,Faecalibacterium,57.5,2.51
GUT_0160,Faecalibacterium,57.6,2.15
GUT_0161,Faecalibacterium,54.1,4.08
GUT_0162,Faecalibacterium,59.2,1.61
GUT_0163,Faecalibacterium,55.5,3.25
GUT_0164,Faecalibacterium,58.4,1.85
GUT_0165,Faecalibacterium,56.9,2.6
GUT_0166,Faecalibacterium,59.9,1.96
GUT_0167,Faecalibacterium,55.8,3.93
GUT_0168,Faecalibacterium,58.4,3.74
GUT_0169,Faecalibacterium,57.2,2.62
GUT_0170,Faecalibacterium,56.1,3.04
GUT_0171,Faecalibacterium,56.4,1.73
GUT_0172,Faecalibacterium,58.5,1.77
GUT_0173,Faecalibacterium,56.9,1.56
GUT_0174,Faecalibacterium,57.0,3.63
GUT_0175,Faecalibacterium,57.0,2.93
GUT_0176,Faecalibacterium,56.6,2.38
GUT_0177,Faecalibacterium,56.0,3.64
GUT_0178,Faecalibacterium,56.8,1.68
GUT_0179,Faecalibacterium,58.1,3.61
GUT_0180,Faecalibacterium,58.0,2.38
GUT_0181,Faecalibacterium,58.9,2.64
GUT_0182,Faecalibacterium,59.4,3.46
GUT_0183,Faecalibacterium,56.6,2.92
GUT_0184,Faecalibacterium,54.3,4.18
GUT_0185,Faecalibacterium,53.7,3.11
GUT_0186,Faecalibacterium,55.9,3.6
GUT_0187,Faecalibacterium,57.1,3.3
GUT_0188,Faecalibacterium,58.6,3.08
GUT_0189,Faecalibacterium,56.6,2.76
GUT_0190,Faecalibacterium,56.2,2.98
GUT_0191,Faecalibacterium,57.0,3.25
GUT_0192,Faecalibacterium,58.4,2.74
GUT_0193,Faecalibacterium,57.1,4.25
GUT_0194,Faecalibacterium,59.8,3.38
GUT_0195,Faecalibacterium,60.3,4.48
GUT_0196,Faecalibacterium,57.9,2.68
GUT_0197,Faecalibacterium,58.2,3.86
GUT_0198,Faecalibacterium,56.5,3.35
GUT_0199,Faecalibacterium,59.8,2.96
GUT_0200,Faecalibacterium,54.4,3.45
GUT_0201,Faecalibacterium,57.9,2.35
GUT_0202,Faecalibacterium,58.6,2.71
GUT_0203,Faecalibacterium,56.0,4.19
GUT_0204,Faecalibacterium,57.1,2.4
GUT_0205,Faecalibacterium,53.8,4.4
GUT_0206,Faecalibacterium,58.7,4.36
GUT_0207,Faecalibacterium,55.4,1.61
GUT_0208,Faecalibacterium,55.9,3.91
GUT_0209,Faecalibacterium,55.8,4.34
GUT_0210,Faecalibacterium,55.0,3.81
GUT_0211,Faecalibacterium,57.4,1.85
GUT_0212,Faecalibacterium,56.7,3.54
GUT_0213,Faecalibacterium,55.7,1.99
GUT_0214,Faecalibacterium,57.1,4.42
GUT_0215,Faecalibacterium,56.1,2.18
GUT_0216,Faecalibacterium,56.5,4.27
GUT_0217,Faecalibacterium,55.4,3.27
GUT_0218,Faecalibacterium,56.6,3.65
GUT_0219,Faecalibacterium,55.9,3.62
GUT_0220,Faecalibacterium,57.6,2.08
GUT_0221,Faecalibacterium,59.3,1.65
GUT_0222,Faecalibacterium,57.2,1.72
GUT_0223,Faecalibacterium,56.4,4.49
GUT_0224,Faecalibacterium,53.1,2.97
GUT_0225,Faecalibacterium,55.3,3.08
GUT_0226,Faecalibacterium,55.8,2.58
GUT_0227,Faecalibacterium,55.1,3.32
GUT_0228,Faecalibacterium,58.6,2.4
GUT_0229,Faecalibacterium,56.8,2.73
GUT_0230,Faecalibacterium,59.1,2.4
GUT_0231,Faecalibacterium,57.4,3.69
GUT_0232,Faecalibacterium,55.1,2.2
GUT_0233,Faecalibacterium,55.5,4.18
GUT_0234,Faecalibacterium,56.3,2.05
GUT_0235,Faecalibacterium,57.0,2.01
GUT_0236,Faecalibacterium,57.5,2.15
GUT_0237,Faecalibacterium,58.8,3.91
GUT_0238,Faecalibacterium,56.1,4.19
GUT_0239,Faecalibacterium,55.9,2.86
GUT_0240,Faecalibacterium,58.6,2.02
GUT_0241,Faecalibacterium,58.2,1.68
GUT_0242,Faecalibacterium,58.8,3.72
GUT_0243,Faecalibacterium,58.1,3.27
GUT_0244,Faecalibacterium,55.6,2.42
GUT_0245,Faecalibacterium,57.0,2.43
GUT_0246,Faecalibacterium,58.0,3.33
GUT_0247,Faecalibacterium,59.5,2.24
GUT_0248,Faecalibacterium,58.1,3.55
GUT_0249,Faecalibacterium,56.2,3.91
GUT_0250,Faecalibacterium,56.8,2.04
GUT_0251,Faecalibacterium,55.7,3.01
GUT_0252,Faecalibacterium,59.1,3.49
GUT_0253,Faecalibacterium,58.5,2.65
GUT_0254,Faecalibacterium,54.7,2.66
GUT_0255,Faecalibacterium,56.7,4.01
GUT_0256,Faecalibacterium,56.7,2.83
GUT_0257,Faecalibacterium,57.7,3.0
GUT_0258,Faecalibacterium,54.8,3.13
GUT_0259,Faecalibacterium,55.4,1.85
GUT_0260,Faecalibacterium,56.7,1.66
GUT_0261,Prevotella,47.1,3.69
GUT_0262,Prevotella,47.3,1.52
GUT_0263,Prevotella,49.2,1.65
GUT_0264,Prevotella,47.8,1.75
GUT_0265,Prevotella,46.5,2.29
GUT_0266,Prevotella,46.5,3.5
GUT_0267,Prevotella,46.5,3.29
GUT_0268,Prevotella,48.0,2.38
GUT_0269,Prevotella,48.2,3.11
GUT_0270,Prevotella,47.5,3.6
GUT_0271,Prevotella,44.6,3.64
GUT_0272,Prevotella,46.2,3.84
GUT_0273,Prevotella,43.8,2.52
GUT_0274,Prevotella,44.8,2.28
GUT_0275,Prevotella,46.3,1.92
GUT_0276,Prevotella,47.4,3.56
GUT_0277,Prevotella,48.7,3.39
GUT_0278,Prevotella,43.0,2.37
GUT_0279,Prevotella,48.3,2.94
GUT_0280,Prevotella,44.7,4.1
GUT_0281,Prevotella,47.9,2.74
GUT_0282,Prevotella,45.9,2.46
GUT_0283,Prevotella,45.3,3.68
GUT_0284,Prevotella,47.0,2.02
GUT_0285,Prevotella,44.5,3.3
GUT_0286,Prevotella,46.8,2.57
GUT_0287,Prevotella,46.1,3.67
GUT_0288,Prevotella,46.9,2.96
GUT_0289,Prevotella,48.4,3.29
GUT_0290,Prevotella,51.2,2.77
GUT_0291,Prevotella,44.9,3.72
GUT_0292,Prevotella,46.3,3.88
GUT_0293,Prevotella,48.5,2.63
GUT_0294,Prevotella,44.5,1.72
GUT_0295,Prevotella,45.7,3.01
GUT_0296,Prevotella,49.0,2.44
GUT_0297,Prevotella,48.3,2.98
GUT_0298,Prevotella,48.6,3.09
GUT_0299,Prevotella,46.5,2.13
GUT_0300,Prevotella,45.7,2.29
GUT_0301,Prevotella,44.1,2.46
GUT_0302,Prevotella,47.7,1.81
GUT_0303,Prevotella,45.9,1.91
GUT_0304,Prevotella,46.9,2.2
GUT_0305,Prevotella,48.4,3.57
GUT_0306,Prevotella,48.8,2.56
GUT_0307,Prevotella,46.6,2.51
GUT_0308,Prevotella,46.2,1.96
GUT_0309,Prevotella,49.0,2.1
GUT_0310,Prevotella,47.4,4.17
GUT_0311,Prevotella,47.4,3.7
GUT_0312,Prevotella,45.4,3.38
GUT_0313,Prevotella,47.0,2.64
GUT_0314,Prevotella,47.3,3.53
GUT_0315,Prevotella,46.7,1.59
GUT_0316,Prevotella,48.6,2.68
GUT_0317,Prevotella,47.3,3.21
GUT_0318,Prevotella,48.4,2.71
GUT_0319,Prevotella,44.0,3.29
GUT_0320,Prevotella,45.6,2.84
GUT_0321,Prevotella,48.6,1.78
GUT_0322,Prevotella,45.7,2.7
GUT_0323,Prevotella,48.9,3.63
GUT_0324,Prevotella,47.1,2.84
GUT_0325,Prevotella,47.9,3.33
GUT_0326,Prevotella,46.0,2.29
GUT_0327,Prevotella,49.0,3.34
GUT_0328,Prevotella,45.3,3.35
GUT_0329,Prevotella,46.8,3.2
GUT_0330,Prevotella,46.7,4.18
GUT_0331,Prevotella,48.5,3.85
GUT_0332,Prevotella,45.0,2.99
GUT_0333,Prevotella,47.0,2.07
GUT_0334,Prevotella,47.8,2.47
GUT_0335,Prevotella,46.3,3.87
GUT_0336,Prevotella,48.0,3.63
GUT_0337,Prevotella,47.4,4.13
GUT_0338,Prevotella,44.1,4.13
GUT_0339,Prevotella,48.7,3.67
GUT_0340,Prevotella,46.6,4.07
GUT_0341,Prevotella,47.3,2.54
GUT_0342,Prevotella,47.5,3.3
GUT_0343,Prevotella,46.1,4.33
GUT_0344,Prevotella,46.9,3.49
GUT_0345,Prevotella,48.0,3.4
GUT_0346,Prevotella,46.0,3.7
GUT_0347,Prevotella,45.3,3.54
GUT_0348,Prevotella,46.1,3.85
GUT_0349,Prevotella,47.1,4.09
GUT_0350,Prevotella,45.4,1.72
VAG_0006,Prevotella,46.8,2.54
VAG_0007,Prevotella,45.3,2.27
VAG_0008,Prevotella,48.3,3.8
VAG_0009,Prevotella,43.4,3.05
VAG_0010,Prevotella,48.8,2.24
VAG_0011,Prevotella,47.9,2.63
VAG_0012,Prevotella,42.7,3.79
VAG_0013,Prevotella,45.8,3.73
VAG_0014,Prevotella,49.6,1.8
VAG_0015,Prevotella,49.3,2.23
VAG_0016,Prevotella,46.5,2.03
VAG_0017,Prevotella,47.4,1.73
VAG_0018,Prevotella,46.1,4.25
VAG_0019,Prevotella,45.7,2.31
VAG_0020,Prevotella,47.6,2.03
VAG_0021,Prevotella,46.2,3.43
VAG_0022,Prevotella,48.0,2.09
VAG_0023,Prevotella,48.5,4.06
VAG_0024,Prevotella,47.7,2.81
VAG_0025,Prevotella,47.3,2.63
VAG_0026,Prevotella,48.0,3.85
VAG_0027,Prevotella,46.2,3.42
VAG_0028,Prevotella,47.3,1.54
VAG_0029,Prevotella,44.7,3.46
VAG_0030,Prevotella,45.8,3.84
VAG_0031,Prevotella,46.4,3.76
VAG_0032,Prevotella,46.7,3.52
VAG_0033,Prevotella,45.6,1.83
VAG_0034,Prevotella,46.7,2.83
VAG_0035,Prevotella,47.2,2.18
GUT_0351,Bifidobacterium,60.2,3.49
GUT_0352,Bifidobacterium,60.6,1.53
GUT_0353,Bifidobacterium,59.3,2.19
GUT_0354,Bifidobacterium,59.7,2.6
GUT_0355,Bifidobacterium,62.8,2.2
GUT_0356,Bifidobacterium,59.9,3.28
GUT_0357,Bifidobacterium,62.2,3.42
GUT_0358,Bifidobacterium,59.7,4.19
GUT_0359,Bifidobacterium,57.5,3.94
GUT_0360,Bifidobacterium,63.4,2.08
GUT_0361,Bifidobacterium,59.6,2.92
GUT_0362,Bifidobacterium,60.0,4.15
GUT_0363,Bifidobacterium,60.9,3.58
GUT_0364,Bifidobacterium,61.8,3.53
GUT_0365,Bifidobacterium,59.4,4.04
GUT_0366,Bifidobacterium,60.9,4.44
GUT_0367,Bifidobacterium,59.0,4.01
GUT_0368,Bifidobacterium,61.3,3.06
GUT_0369,Bifidobacterium,58.0,3.6
GUT_0370,Bifidobacterium,61.5,2.17
GUT_0371,Bifidobacterium,59.4,2.79
GUT_0372,Bifidobacterium,59.2,3.17
GUT_0373,Bifidobacterium,60.1,1.58
GUT_0374,Bifidobacterium,60.8,4.23
GUT_0375,Bifidobacterium,57.9,2.46
GUT_0376,Bifidobacterium,58.7,2.05
GUT_0377,Bifidobacterium,60.5,1.56
GUT_0378,Bifidobacterium,58.7,3.01
GUT_0379,Bifidobacterium,58.1,4.42
GUT_0380,Bifidobacterium,61.7,2.22
GUT_0381,Bifidobacterium,59.6,2.5
GUT_0382,Bifidobacterium,62.0,3.8
GUT_0383,Bifidobacterium,58.7,2.53
GUT_0384,Bifidobacterium,60.9,3.11
GUT_0385,Bifidobacterium,64.4,2.49
GUT_0386,Bifidobacterium,61.9,1.64
GUT_0387,Bifidobacterium,60.8,1.79
GUT_0388,Bifidobacterium,59.7,2.72
GUT_0389,Bifidobacterium,58.7,3.5
GUT_0390,Bifidobacterium,59.6,1.96
GUT_0391,Bifidobacterium,58.3,2.17
GUT_0392,Bifidobacterium,58.6,3.36
GUT_0393,Bifidobacterium,63.1,4.49
GUT_0394,Bifidobacterium,59.1,3.84
GUT_0395,Bifidobacterium,59.5,2.58
GUT_0396,Bifidobacterium,63.3,3.73
GUT_0397,Bifidobacterium,58.4,3.52
GUT_0398,Bifidobacterium,60.0,3.96
GUT_0399,Bifidobacterium,55.8,4.41
GUT_0400,Bifidobacterium,63.4,1.67
GUT_0401,Bifidobacterium,63.8,2.14
GUT_0402,Bifidobacterium,62.2,1.7
GUT_0403,Bifidobacterium,60.4,3.42
GUT_0404,Bifidobacterium,63.4,4.22
GUT_0405,Bifidobacterium,59.1,3.81
GUT_0406,Bifidobacterium,57.2,3.02
GUT_0407,Bifidobacterium,61.3,3.6
GUT_0408,Bifidobacterium,60.7,3.99
GUT_0409,Bifidobacterium,60.6,4.41
GUT_0410,Bifidobacterium,59.1,1.83
GUT_0411,Bifidobacterium,59.1,2.97
GUT_0412,Bifidobacterium,59.6,4.32
GUT_0413,Bifidobacterium,61.5,3.13
GUT_0414,Bifidobacterium,60.2,2.33
GUT_0415,Bifidobacterium,60.8,3.41
GUT_0416,Bifidobacterium,61.5,2.2
GUT_0417,Bifidobacterium,60.0,4.18
GUT_0418,Bifidobacterium,59.3,2.52
GUT_0419,Bifidobacterium,59.2,3.68
GUT_0420,Bifidobacterium,60.5,1.57
VAG_0036,Bifidobacterium,61.1,3.91
VAG_0037,Bifidobacterium,58.7,3.05
VAG_0038,Bifidobacterium,59.9,1.83
VAG_0039,Bifidobacterium,56.9,3.77
VAG_0040,Bifidobacterium,59.8,1.64
VAG_0041,Bifidobacterium,60.5,4.26
VAG_0042,Bifidobacterium,59.3,4.13
VAG_0043,Bifidobacterium,60.8,3.05
VAG_0044,Bifidobacterium,59.9,2.07
VAG_0045,Bifidobacterium,57.4,4.09
VAG_0046,Bifidobacterium,60.9,3.94
VAG_0047,Bifidobacterium,60.2,3.05
VAG_0048,Bifidobacterium,58.5,4.14
VAG_0049,Bifidobacterium,61.1,4.07
VAG_0050,Bifidobacterium,59.7,1.87
GUT_0421,Streptococcus,39.2,2.46
GUT_0422,Streptococcus,41.0,2.94
GUT_0423,Streptococcus,40.4,1.79
GUT_0424,Streptococcus,39.2,1.8
GUT_0425,Streptococcus,36.7,1.59
GUT_0426,Streptococcus,38.1,3.65
GUT_0427,Streptococcus,39.3,2.98
GUT_0428,Streptococcus,40.6,2.58
GUT_0429,Streptococcus,39.1,3.84
GUT_0430,Streptococcus,41.4,4.07
GUT_0431,Streptococcus,37.8,2.27
GUT_0432,Streptococcus,41.0,2.19
GUT_0433,Streptococcus,41.0,2.02
GUT_0434,Streptococcus,40.4,3.97
GUT_0435,Streptococcus,40.8,3.79
GUT_0436,Streptococcus,40.5,3.84
GUT_0437,Streptococcus,38.2,2.79
GUT_0438,Streptococcus,40.3,3.2
GUT_0439,Streptococcus,39.3,2.03
GUT_0440,Streptococcus,38.7,3.34
GUT_0441,Streptococcus,41.3,4.34
GUT_0442,Streptococcus,37.5,3.3
GUT_0443,Streptococcus,38.1,3.52
GUT_0444,Streptococcus,40.5,1.99
GUT_0445,Streptococcus,38.7,4.03
GUT_0446,Streptococcus,40.2,2.48
GUT_0447,Streptococcus,37.9,3.77
GUT_0448,Streptococcus,38.0,3.36
GUT_0449,Streptococcus,38.6,2.8
GUT_0450,Streptococcus,38.4,2.11
GUT_0451,Streptococcus,40.8,1.93
GUT_0452,Streptococcus,40.4,4.04
GUT_0453,Streptococcus,37.9,3.17
GUT_0454,Streptococcus,40.0,1.67
GUT_0455,Streptococcus,37.3,3.65
GUT_0456,Streptococcus,39.2,2.68
GUT_0457,Streptococcus,38.1,2.33
GUT_0458,Streptococcus,34.5,3.94
GUT_0459,Streptococcus,38.7,3.8
GUT_0460,Streptococcus,39.4,3.28
GUT_0461,Streptococcus,40.7,3.02
GUT_0462,Streptococcus,39.1,2.66
GUT_0463,Streptococcus,36.6,2.1
GUT_0464,Streptococcus,38.3,3.03
GUT_0465,Streptococcus,40.7,1.74
GUT_0466,Streptococcus,38.3,2.64
GUT_0467,Streptococcus,37.9,1.69
GUT_0468,Streptococcus,37.1,3.75
GUT_0469,Streptococcus,38.3,2.69
GUT_0470,Streptococcus,40.2,3.49
GUT_0471,Streptococcus,39.1,2.67
GUT_0472,Streptococcus,38.8,3.51
GUT_0473,Streptococcus,41.0,3.96
GUT_0474,Streptococcus,40.0,3.12
GUT_0475,Streptococcus,36.5,2.95
GUT_0476,Streptococcus,36.6,2.13
GUT_0477,Streptococcus,38.9,4.23
GUT_0478,Streptococcus,37.4,1.83
GUT_0479,Streptococcus,38.0,4.22
GUT_0480,Streptococcus,40.1,3.36
VAG_0051,Streptococcus,38.2,1.71
VAG_0052,Streptococcus,39.6,2.4
VAG_0053,Streptococcus,40.5,1.73
VAG_0054,Streptococcus,37.6,3.03
VAG_0055,Streptococcus,40.7,3.42
VAG_0056,Streptococcus,36.6,3.27
VAG_0057,Streptococcus,35.4,1.54
VAG_0058,Streptococcus,39.4,3.28
VAG_0059,Streptococcus,39.3,3.8
VAG_0060,Streptococcus,41.0,3.4
VAG_0061,Streptococcus,40.4,3.91
VAG_0062,Streptococcus,39.6,3.35
VAG_0063,Streptococcus,37.9,4.03
VAG_0064,Streptococcus,38.5,3.75
VAG_0065,Streptococcus,36.7,2.15
VAG_0066,Streptococcus,39.2,1.91
VAG_0067,Streptococcus,38.8,4.49
VAG_0068,Streptococcus,39.1,3.9
VAG_0069,Streptococcus,37.7,2.87
VAG_0070,Streptococcus,40.0,3.51
GUT_0481,Lactobacillus,35.4,3.89
GUT_0482,Lactobacillus,35.9,1.7
GUT_0483,Lactobacillus,37.4,2.64
GUT_0484,Lactobacillus,37.4,1.9
GUT_0485,Lactobacillus,34.8,3.06
GUT_0486,Lactobacillus,38.5,2.72
GUT_0487,Lactobacillus,33.2,4.16
GUT_0488,Lactobacillus,35.0,3.93
GUT_0489,Lactobacillus,37.4,2.81
GUT_0490,Lactobacillus,34.7,2.78
GUT_0491,Lactobacillus,36.8,4.3
GUT_0492,Lactobacillus,36.9,3.76
GUT_0493,Lactobacillus,36.4,3.6
GUT_0494,Lactobacillus,36.9,2.51
GUT_0495,Lactobacillus,35.9,4.13
GUT_0496,Lactobacillus,36.2,4.27
GUT_0497,Lactobacillus,37.9,2.47
GUT_0498,Lactobacillus,36.2,3.32
GUT_0499,Lactobacillus,36.3,3.88
GUT_0500,Lactobacillus,36.1,2.58
VAG_0071,Lactobacillus,34.4,4.06
VAG_0072,Lactobacillus,36.9,3.66
VAG_0073,Lactobacillus,38.3,2.55
VAG_0074,Lactobacillus,35.8,1.56
VAG_0075,Lactobacillus,34.1,2.74
VAG_0076,Lactobacillus,34.3,2.1
VAG_0077,Lactobacillus,36.8,4.16
VAG_0078,Lactobacillus,36.7,1.98
VAG_0079,Lactobacillus,36.2,3.71
VAG_0080,Lactobacillus,35.6,3.06
VAG_0081,Lactobacillus,37.7,2.29
VAG_0082,Lactobacillus,34.0,2.02
VAG_0083,Lactobacillus,36.5,1.59
VAG_0084,Lactobacillus,37.1,3.02
VAG_0085,Lactobacillus,38.5,3.99
VAG_0086,Lactobacillus,36.1,1.5
VAG_0087,Lactobacillus,36.7,4.24
VAG_0088,Lactobacillus,35.9,3.11
VAG_0089,Lactobacillus,34.2,3.58
VAG_0090,Lactobacillus,36.5,3.96
VAG_0091,Lactobacillus,35.3,2.94
VAG_0092,Lactobacillus,34.6,4.06
VAG_0093,Lactobacillus,36.2,2.23
VAG_0094,Lactobacillus,37.0,3.79
VAG_0095,Lactobacillus,33.9,3.74
VAG_0096,Lactobacillus,35.2,3.09
VAG_0097,Lactobacillus,37.3,1.89
VAG_0098,Lactobacillus,38.3,2.33
VAG_0099,Lactobacillus,37.4,2.97
VAG_0100,Lactobacillus,34.6,2.25
VAG_0101,Lactobacillus,37.4,2.92
VAG_0102,Lactobacillus,34.7,2.24
VAG_0103,Lactobacillus,36.0,3.07
VAG_0104,Lactobacillus,32.9,1.5
VAG_0105,Lactobacillus,33.8,3.32
VAG_0106,Lactobacillus,34.2,4.11
VAG_0107,Lactobacillus,36.5,2.34
VAG_0108,Lactobacillus,38.0,3.15
VAG_0109,Lactobacillus,36.7,2.73
VAG_0110,Lactobacillus,36.8,4.24
VAG_0111,Lactobacillus,35.8,1.57
VAG_0112,Lactobacillus,34.5,4.44
VAG_0113,Lactobacillus,36.4,2.71
VAG_0114,Lactobacillus,34.2,3.91
VAG_0115,Lactobacillus,34.7,1.77
VAG_0116,Lactobacillus,37.2,2.11
VAG_0117,Lactobacillus,34.2,3.0
VAG_0118,Lactobacillus,34.2,2.79
